"LOGTN","LOGCA","LOGIMP","MMJTEMP","MSRAIN","PRES","PNON","PCOMM","PIND"
2.57292,-0.34672,3.64806,15.3,20.24,48,28,5,19
0.78162,-2.32279,4.16044,15.3,20.24,0,0,0,100
1.18479,-3.05761,4.21509,15.3,20.24,67,0,33,0
1.7613,-1.36258,3.31419,15.3,20.24,55,34,0,10
1.18111,-2.14558,3.65066,15.3,20.24,48,0,0,52
1.618,-3.64966,3.3673,24.9,24.66,100,0,0,0
2.82932,-3.50656,4.27666,24.9,24.66,84,0,16,0
3.85693,-0.79851,4.09434,20.4,23.31,81,6,13,0
0.42134,-3.91202,4.59915,11.4,20.31,0,0,100,0
1.46187,-2.65926,4.3895,11.4,20.31,30,0,70,0
1.88722,-2.20728,4.07754,16.2,11.83,33,37,30,0
1.32867,-3.50656,4.58395,58.7,59.05,0,2,98,0
0.42003,-2.81341,3.78191,58.7,62,100,0,0,0
0.59111,-2.40795,3.58352,58.7,62,0,60,40,0
0.50561,-2.12863,1.64866,10.8,21.81,6,58,36,0
1.17896,-0.14734,1.90211,10.8,21.81,13,81,6,0
1.492,-3.10109,4.3438,11.4,20.31,26,0,74,0
2.22969,-2.65926,4.39198,11.4,20.31,31,0,56,13
0.96241,-2.97593,3.93964,11.4,20.31,100,0,0,0
1.7499,-2.32279,3.91202,11.4,20.31,100,0,0,0
0.96698,-3.96332,4.60116,11.4,20.31,0,0,100,0
0.95743,-3.96332,4.60517,11.4,20.31,0,0,100,0
3.69202,-0.18633,3.52636,17,22.46,83,7,10,0
1.84546,-1.89712,1.38629,3.2,20.6,33,67,0,0
2.38628,-2.04022,2.39789,3.2,20.6,87,12,1,0
2.41009,-1.10866,3.09104,3.2,20.6,83,17,0,0
2.10961,-2.12026,4.24849,3.2,20.6,10,6,85,0
2.76651,-0.75502,3.55535,3.2,20.6,80,1,20,0
1.60241,-1.51413,3.3673,3.2,20.6,97,0,4,0
1.69028,-2.23493,3.30322,25,24.41,100,0,0,0
1.2862,-3.54046,3.52636,25,24.41,88,12,0,0
1.3368,-3.14656,3.52341,25,24.41,78,23,0,0
0.9802,-2.74887,3.054,25,24.41,93,7,0,0
0.5619,-3.21888,4.5931,32.2,46.18,0,0,100,0
0.28292,-1.96611,2.59525,32.2,46.18,96,0,4,0
1.3148,-1.231,3.75654,32.2,46.18,65,1,35,0
1.83864,-1.76026,3.02529,22.5,22.53,79,2,16,4
2.33069,-1.8579,3.48737,22.5,22.53,8,29,63,0
2.40252,-0.68122,3.29584,28.5,41.36,84,12,2,2
3.10387,-1.19402,4.57471,50.1,49.38,55,21,25,0
1.31507,-3.07911,2.59525,50.14,49.38,48,52,0,0
1.48342,-2.7181,2.76632,50.1,49.38,89,11,0,0
